GPC,Genuine Parts,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
GILD,Gilead,Health Care,cap,Country,IPO,Year,Sector,Industry
GPN,Global Payments,Information Technology,cap,Country,IPO,Year,Sector,Industry
GL,Globe Life,Financials,cap,Country,IPO,Year,Sector,Industry
GM,GM,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
GS,Goldman Sachs,Financials,cap,Country,IPO,Year,Sector,Industry
GWW,Grainger,Industrials,cap,Country,IPO,Year,Sector,Industry
HAL,Halliburton,Energy,cap,Country,IPO,Year,Sector,Industry
HIG,Hartford (The),Financials,cap,Country,IPO,Year,Sector,Industry
HAS,Hasbro,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
HCA,HCA Healthcare,Health Care,cap,Country,IPO,Year,Sector,Industry
PEAK,Healthpeak,Real Estate,cap,Country,IPO,Year,Sector,Industry
HSIC,Henry Schein,Health Care,cap,Country,IPO,Year,Sector,Industry
HSY,Hershey's,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
HES,Hess,Energy,cap,Country,IPO,Year,Sector,Industry
HPE,Hewlett Packard Enterprise,Information Technology,cap,Country,IPO,Year,Sector,Industry
HLT,Hilton,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
HOLX,Hologic,Health Care,cap,Country,IPO,Year,Sector,Industry
HD,Home Depot,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
HON,Honeywell,Industrials,cap,Country,IPO,Year,Sector,Industry
HRL,Hormel,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
HST,Host Hotels & Resorts,Real Estate,cap,Country,IPO,Year,Sector,Industry
HWM,Howmet Aerospace,Industrials,cap,Country,IPO,Year,Sector,Industry
HPQ,HP,Information Technology,cap,Country,IPO,Year,Sector,Industry
HUM,Humana,Health Care,cap,Country,IPO,Year,Sector,Industry
HII,Huntington Ingalls Industries,Industrials,cap,Country,IPO,Year,Sector,Industry
HBAN,Huntington National Bank,Financials,cap,Country,IPO,Year,Sector,Industry
IBM,IBM,Information Technology,cap,Country,IPO,Year,Sector,Industry
IEX,IDEX,Industrials,cap,Country,IPO,Year,Sector,Industry
IDXX,Idexx Laboratories,Health Care,cap,Country,IPO,Year,Sector,Industry
ITW,Illinois Tool Works,Industrials,cap,Country,IPO,Year,Sector,Industry
ILMN,Illumina,Health Care,cap,Country,IPO,Year,Sector,Industry
INCY,Incyte,Health Care,cap,Country,IPO,Year,Sector,Industry
IR,Ingersoll Rand,Industrials,cap,Country,IPO,Year,Sector,Industry
INTC,Intel,Information Technology,cap,Country,IPO,Year,Sector,Industry
ICE,Intercontinental Exchange,Financials,cap,Country,IPO,Year,Sector,Industry
IFF,International Flavors & Fragrances,Materials,cap,Country,IPO,Year,Sector,Industry
IP,International Paper,Materials,cap,Country,IPO,Year,Sector,Industry
IPG,Interpublic Group,Communication Services,cap,Country,IPO,Year,Sector,Industry
INTU,Intuit,Information Technology,cap,Country,IPO,Year,Sector,Industry
ISRG,Intuitive Surgical,Health Care,cap,Country,IPO,Year,Sector,Industry
IVZ,Invesco,Financials,cap,Country,IPO,Year,Sector,Industry
